thumb_index_together
thumb_mid_together
thumb_ring_together
thumb_pinky_together
wider 'pinches'
thumb up
thumb down
point
L
Palm Facing inside horizontaly
swipe
call
nine
fist
index_mid_extend
pinky_extend
thumb_index_mid_extend
four
rock'n roll
pinky_ring_extend
